tokenized_share,legacy_haircut,tokenized_haircut,legacy_buffer_ratio,tokenized_buffer_ratio,collateral_efficiency_spread,technology_risk_premium,reinvestment_return,capital_liberated,additional_usable_collateral,final_tokenized_cost_of_debt,book_wacc_change,market_wacc_change,adjusted_roe,roe_change
0.26948518344173256,0.12014027196473895,0.08684101431567759,0.2688474018372309,0.17009429673663795,0.0059962235825603335,0.004937225724603433,0.047967475321808985,2.5677335441142333,0.8658322264651872,0.0408410021420431,-0.0005115090992026811,-2.6731804371155077e-05,1.5208002888179006,0.0016704555003901334
0.37937087070703057,0.056762702390157196,0.04090752409515167,0.1949105320248306,0.1057028363711831,0.004093041503951898,0.007194571329134746,0.05369851306468741,3.2653565140641483,0.5803625948175437,0.045001529825182844,0.001498077371081999,7.829051580714175e-05,1.521507937957649,0.0023781046401385453
0.20009132749847147,0.165771316630615,0.1176447092770824,0.22599093995472985,0.16321365835524498,0.0035721999010213147,0.002260893188999997,0.011822669803375332,1.2119789409021102,0.9291328506652832,0.04058869328797868,-0.0006333774048783436,-3.310072275686249e-05,1.5193241672904523,0.00019433397294177368
0.3808382390127233,0.10130656520782545,0.07214057406895497,0.3040465704751542,0.2242771946023932,0.006680699934192311,0.0072424119512751375,0.03834956512996323,2.9311702540309064,1.0717206286275882,0.04246171201708283,0.00027131387066607615,1.4179042611625614e-05,1.5206543759858404,0.001524542668329909
0.2129078420442479,0.17812841628940507,0.1322404044892229,0.341703092200653,0.30104002025111926,0.006252668395953913,0.00609659107192966,0.009753734266809007,0.8353262810010946,0.9426602664735526,0.04174392267597575,-7.53872831920771e-05,-3.939789359572177e-06,1.5192403340508451,0.00011050073333462862
0.27647739999076626,0.13605349111476284,0.1254383568203327,0.2572340535130969,0.152948097505428,0.0034767951267204496,0.004668384654388409,0.035385130165431454,2.781952854411628,0.2831714286454883,0.04309158952766796,0.0005755525200897976,3.0078755971982285e-05,1.5204649175249543,0.0013350842074437708
0.1905782174327475,0.1685818653721776,0.1195171636006018,0.19880002986933878,0.07906691066395721,0.006396000121538727,0.0032712675029123116,0.06695172637287505,2.201668147750084,0.9022081090532481,0.04,-0.0009177235640118325,-4.796084139696566e-05,1.5211290125641441,0.00199917924663362
0.13192585956141487,0.1798746622663934,0.13659042546106656,0.29052125264499545,0.2523815872164235,0.006485166994483127,0.0012319960256357554,0.019266244643291765,0.48547974348321077,0.5509649847471962,0.04,-0.0009177235640118325,-4.796084139696566e-05,1.5192566879349452,0.00012685461743466853
0.1429065625499905,0.14874751169691058,0.1288373003362657,0.3348084986122505,0.24574428507277638,0.0021808135524734812,0.0010434386730296037,0.004132633361151914,1.228060358155009,0.2745316027930613,0.040762625120556124,-0.0005493661726214544,-2.8710240106255558e-05,1.519198664413568,6.883109605748672e-05
0.2817775532943183,0.15220745352031811,0.13027981248894868,0.32439950329692235,0.28924862868312895,0.0060048192682083815,0.008422363441378243,0.06176867192835045,0.955667532241872,0.5961596922573165,0.04431754417316986,0.0011677038182934113,6.102497508397864e-05,1.5199304289025486,0.0008005955850380886
0.3094362351935912,0.15731723061175362,0.1453096656344003,0.2143029588222394,0.17305982768473152,0.004522654950964933,0.006961505026630756,0.050400947566111895,1.2313658357156747,0.3585010370321271,0.04433885007566582,0.0011779948334371404,6.156279035263168e-05,1.5199715460502163,0.0008417127327058349
0.3553393299285805,0.06172981894175272,0.014998764344994649,0.21281705344771368,0.15844876582911166,0.00554952348640652,0.008841638279189455,0.04892348847816557,1.8640314523822,1.6021868516885576,0.045192114792782935,0.0015901322740888568,8.310136601961948e-05,1.520366659722018,0.0012368264045075072
0.11635009449738869,0.12628325578985458,0.11416572821084622,0.3303047709323589,0.236442725273303,0.0028656392321125164,0.0017337680465935846,0.014682658310425518,1.0537098936170644,0.13603324545640305,0.04076812881448107,-0.0005467078201982778,-2.857131284761394e-05,1.519339661512841,0.0002098281953304415
0.39400815386625776,0.10419848994418857,0.054994442527118166,0.28818941815832205,0.2066722346620447,0.0027256512733252487,0.00856819562846476,0.024107410601177437,3.0989793172627245,1.8705543878129731,0.04774254435513951,0.002822021383418874,0.00014748070693242077,1.5201430616799236,0.0010132283624131322
0.2734051647422627,0.13796863224246925,0.0955069744802038,0.3399010496482381,0.29654154055543286,0.00454176369223471,0.004232275125926128,0.03793349835860945,1.1438139086307082,1.1201287963856572,0.04159051143369141,-0.000149486815838748,-7.812280022570506e-06,1.5197182925287944,0.0005884592112839204
0.1357652578593234,0.058773245382187145,0.03486946809312427,0.2317997826393413,0.16328849340801982,0.005054937735183142,0.006077032939346104,0.03294487172684562,0.8974599795659444,0.3131262558052299,0.042922095204162965,0.0004936846597493882,2.5800287357616303e-05,1.5195308302104455,0.00040099689293504603
0.22263493282860916,0.07046799373757467,0.031052681317124263,0.23389695492393042,0.2006515698389677,0.0040920002207843024,0.004793061400721363,0.018047429456336878,0.7141492410847547,0.8466864011424917,0.04260106117993706,0.0003386212445485176,1.7696570558181635e-05,1.5193046337196339,0.00017480040212336512
0.2717373799366347,0.11920806606046894,0.07410795700495038,0.2901512419742057,0.2014322668873129,0.003581070759120216,0.007299457775887631,0.04393155068797436,2.326109751969099,1.1824731224201344,0.04561838701676742,0.0017960270449490084,9.3861563138814e-05,1.5205157745985436,0.0013859412810330873
